bookName,ISBN_API,year
Contemporary U. S. Latino a Literary Criticism,9781403979995,October 2007
Brother to Brother: New Writings by Black Gay Men,9780978625115,December 2007
"The New World Border: Prophecies, Poems, and Loqueras for the End of the Century",9780872863132,January 2001
"Literatura Chicana, 1965-1995: An Anthology in Spanish, English, and Calo, Vol. 191",9780815320807,March 1997
So Fey,9781590212288,June 2009
"Imagined Transnationalism: U. S. Latino/A Literature, Culture, and Identity",9780230606326,November 2009
Literature and Aging: An Anthology,9780873384667,February 1993
Salaam. Peace: An Anthology of Middle Eastern-American Drama,9781559363327,January 2010
Plays and Playwrights 2008,9780979485213,February 2008
Call and Response: The Riverside Anthology of the African American Literary Tradition CD,9780395875094,January 1998
U.S. Latino Literature Today,9780321198433,August 2004
Death Defying Acts,9780573695391,January 1996
American Studies Anthology,9780842028295,August 2001
Women Heroes: Six Short Plays from the Women's Project,9780936839226,January 1987
Queer Beats: How the Beats Turned America On to Sex,9781573441889,June 2004
Message to Aztlan: Selected Readings,9781558853317,January 2001
The New England Transcendentalists: Life of the Mind and of the Spirit (Perspectives on History Series),9781932663174,December 2006
Literature of the American South: A Norton Anthology,9780393316711,October 1997
The American Puritans: Their Prose and Poetry,9780231054195,May 1982
"Richard Wright: Early Works (Lawd Today!, Uncle Tom's Children, Native Son)",9780940450660,October 1991
The Heath Anthology of American Literature: Volume E: Contemporary Period (1945 to the Present),9780618533015,January 2005
Best American Magazine Writing 2004,9780060749538,September 2004
Writing Off the Hyphen: New Perspectives on the Literature of the Puerto Rican Diaspora,9780295988245,April 2008
Ethnic Modernism,9780674030916,November 2008
Recollections of the Early Republic: Selected Autobiographies,9781555533014,January 1997
The Best American Magazine Writing,9781586480097,December 2000
"Blacklegs, Card Sharps, and Confidence Men",9780807136362,May 2010
Modern American Prose: Fifteen Writers + 15,9780070113961,January 1993
A Beginner's Guide to Critical Reading: An Anthology of Literary Texts,9780415234689,April 2001
For a Living: The Poetry of Work,9780252064104,March 1995
What's Nature Worth?: Narrative Expressions of Environmental Values,9780874807905,March 2004
New Playwrights: The Best Plays of 2001,9781575252971,July 2003
New Playwrights: The Best Plays of 2004,9781575254241,May 2005
More New York Stories: The Best of the City Section of The New York Times,9780814776551,November 2010
Latina,9780684802404,August 1995
Word Virus,9780802136947,June 2000
American Fantastic Tales: Terror and the Uncanny from the 1940s to Now,9781598530483,October 2009
Christmas in Minnesota,9780873515429,November 2005
